 WAGE D1 D2
 9 1 0
 5,5 1 0
 3,8 0 0
 10,5 1 0
 15 1 0
 9 1 0
 9,57 1 0
 15 0 0
 11 1 0
 5 1 0
 24,98 1 0
 20,4 0 0
 25 0 0
 13,98 0 0
 3,5 1 0
 5 0 0
 10 1 0
 15 1 0
 5,83 0 0
 9,1 0 0
 11,25 1 0
 13 1 0
 8 0 0
 4,28 1 0
 7,88 1 0
 6,94 0 0
 24,98 0 0
 10 1 0
 13,75 1 0
 5,62 1 0
 14,67 1 0
 24,98 1 0
 12 1 0
 15 1 0
 5,77 0 0
 12,65 1 0
 11,71 0 0
 13 1 0
 12,5 1 0
 22,5 1 0
 11,25 0 0
 15,38 1 0
 7,7 0 0
 11,84 1 0
 5 1 0
 6,5 1 0
 9 1 0
 3,35 0 0
 4,5 1 0
 10,53 1 0
 3,5 1 0
 15 1 0
 8,5 0 0
 9,17 1 0
 9,6 0 0
 6,88 1 0
 13,95 1 0
 10 0 0
 3,75 0 0
 8 0 0
 11,67 1 0
 8,89 0 0
 4 0 0
 5,5 0 0
 3,35 0 0
 10,81 1 0
 7 1 0
 10 1 0
 5,4 1 0
 7,5 0 0
 11,25 1 0
 10 1 0
 4 0 0
 13,51 1 0
 6,75 0 0
 14,29 1 0
 9,75 1 0
 3,35 0 0
 3,4 0 0
 5,62 1 0
 7 1 0
 10 1 0
 6,1 0 0
 4,17 1 0
 4,8 1 0
 5,75 1 0
 4,75 1 0
 9,37 1 0
 5,25 0 0
 4,95 1 0
 19,38 1 0
 19,98 1 0
 4 0 0
 5 0 0
 10,58 1 0
 10 0 0
 7,38 0 0
 12,5 0 0
 4 0 0
 15,03 1 0
 16 1 1
 3,56 0 1
 4,5 0 1
 4,55 0 1
 3,6 1 1
 8 1 1
 4,75 0 1
 6,73 1 1
 11,11 1 1
 6 1 1
 10 1 1
 11,25 1 1
 3,95 1 1
 17,5 1 1
 3,55 0 1
 6 0 1
 22 1 1
 6,25 0 1
 4,5 1 1
 10,32 0 1
 12,2 1 1
 18,16 0 1
 15 1 1
 8,75 1 1
 19,98 1 1
 6,67 0 0
 9,63 1 0
 5,5 1 0
 8 0 0
 20 1 0
 9,5 1 0
 11,79 0 0
 13,89 0 0
 5,5 1 0
 7 0 0
 9,65 1 0
 10,61 0 0
 12 1 0
 8,56 1 0
 16,14 0 0
 3,75 0 0
 9 1 0
 13,12 1 0
 13,2 0 0
 9,25 0 0
 5 0 0
 6 0 0
 7 1 0
 4,7 1 0
 7,5 1 0
 7 1 0
 11,22 1 0
 5,71 1 0
 5,5 1 0
 9 1 0
 4,13 1 0
 10 1 0
 7,5 1 0
 3,65 0 0
 8,89 1 0
 18 1 0
 3,35 0 0
 13,45 0 0
 22,5 1 0
 19 0 0
 8,93 1 0
 7 1 0
 4,17 0 0
 9,83 1 0
 6,67 0 0
 7 1 0
 3,64 1 0
 22,83 0 0
 5 1 0
 22,5 1 0
 12 1 0
 6,28 1 0
 4,5 0 0
 6 1 0
 6,75 1 0
 8,75 0 0
 13,28 1 0
 6,25 1 0
 8,99 0 0
 7,5 0 0
 12 1 0
 14 0 0
 16,42 0 0
 6,25 0 0
 10,5 1 0
 9,5 1 0
 3 1 0
 9,22 1 0
 4 0 0
 3,8 0 0
 6 1 0
 5 1 0
 15 1 0
 5,55 0 0
 9 1 0
 24,98 1 0
 8,49 1 0
 5 1 0
 22,2 1 0
 9,24 1 0
 8 1 0
 3,5 0 1
 3,35 1 1
 3,35 1 1
 20 1 1
 4 0 1
 18 1 1
 4,5 0 1
 7,81 0 1
 1,75 1 1
 5,2 1 1
 8,75 0 1
 5 1 1
 3,75 1 1
 5,95 1 1
 4 0 1
 5 0 1
 4,62 0 1
 5,75 1 1
 24,98 1 0
 15,79 1 0
 15,56 0 0
 3,35 0 0
 18,16 1 0
 8 0 0
 6 0 0
 17,25 1 0
 5,5 0 0
 7,65 0 0
 6,25 0 0
 6,4 1 0
 6,58 1 0
 12,5 1 0
 13,33 1 0
 5,5 0 0
 11,25 0 0
 10,62 0 0
 8 1 0
 10,2 1 0
 5,79 1 0
 7,3 1 0
 44,5 0 0
 10,5 1 0
 9,36 1 0
 5,2 1 0
 4,25 1 0
 15,95 0 0
 22,5 1 0
 5 1 1
 5,3 1 1
 6,25 1 1
 10 0 1
 5,5 1 1
 6,8 1 1
 3 1 1
 10 1 1
 4,85 0 1
 9,42 1 1
 6 0 1
 4,25 0 1
 11,02 1 1
 12,16 1 1
 8,43 1 1
 11,43 0 1
 19,98 1 1
 6,88 0 1
 5,71 1 0
 3,35 1 0
 4,85 1 0
 5,75 1 0
 5,4 1 0
 13,16 1 0
 11,32 1 0
 8,75 1 0
 12,22 1 0
 5,25 1 0
 5,56 0 1
 4,59 1 1
 7,5 1 1
 12 0 1
 16 1 1
 3,35 0 1
 4,45 0 1
 4,25 1 1
 13,1 1 1
 7 1 1
 5,75 1 1
 6,5 1 1
 7,61 1 1
 20,5 1 1
 6,25 0 1
 3,84 1 1
 16,65 1 1
 11,25 0 0
 5,65 0 0
 6,5 0 0
 7,75 1 0
 6,93 1 0
 15 1 0
 7 1 0
 3,35 1 1
 6,5 0 1
 6,25 1 1
 5 1 1
 3,45 0 1
 8,8 1 1
 10 1 1
 4 1 1
 9,5 1 1
 10,43 1 1
 5,21 1 1
 7,5 0 1
 7 1 1
 10,78 1 1
 8,9 1 1
 3,75 0 1
 3,75 0 1
 9,45 0 0
 15 1 0
 3,6 0 0
 12 1 0
 10,62 1 0
 14 1 0
 5 0 0
 11,5 0 0
 13,71 1 0
 10,62 1 1
 7,45 0 1
 6,75 1 1
 5,87 0 1
 3,43 0 1
 4,35 1 1
 13 1 1
 3,51 1 1
 4,3 0 1
 5,85 1 1
 6 0 0
 11 1 0
 21,25 0 0
 14,53 1 0
 6,85 0 0
 10 1 0
 24,98 0 1
 3,75 1 1
 6,5 1 1
 5 0 1
 4,55 0 1
 6,5 0 0
 10,58 0 0
 9,56 1 0
 12 1 0
 8,5 0 0
 4,1 1 0
 4,5 0 0
 11,5 1 0
 8,9 0 0
 14,21 0 0
 13,65 1 0
 22,2 0 0
 15 1 0
 8,06 1 1
 6,75 1 1
 4,5 1 1
 7 1 1
 7,5 1 1
 7,5 1 1
 8,5 0 1
 8 1 1
 3,5 1 1
 12,5 1 1
 6 0 1
 5,25 0 1
 5 0 1
 3,5 1 1
 11 1 1
 7,5 0 0
 8,5 1 0
 12,5 0 0
 10,75 1 0
 12,5 1 0
 7,8 1 0
 12 1 0
 3,35 1 1
 19,88 1 1
 6 1 1
 4,22 1 1
 3,5 1 1
 12 1 1
 3,35 1 0
 9 1 0
 3,98 0 0
 5 1 0
 12,67 1 0
 17,25 1 0
 9,5 0 0
 14 1 0
 8,5 1 0
 4,25 1 0
 5,8 1 0
 11,25 1 0
 12 1 0
 11,25 1 0
 7,5 1 0
 8,2 0 1
 4,85 1 1
 4,75 1 1
 5,5 1 1
 9,5 1 1
 9,6 1 1
 4,55 1 0
 15,73 1 0
 9,86 1 0
 10 0 0
 5,8 0 0
 7,53 0 1
 9,75 1 1
 13 1 1
 10,28 1 1
 13,45 1 1
 12,57 1 0
 8,63 0 0
 13,26 1 0
 6,85 1 0
 12,47 1 0
 7,14 1 0
 12,5 1 0
 10 1 0
 10 1 0
 8,75 1 0
 9,37 1 0
 11,11 1 0
 5,1 1 0
 7,5 0 0
 3,4 1 0
 4,5 1 0
 6,25 1 0
 20,55 1 0
 8,4 0 0
 8 1 0
 8,5 1 0
 3,75 0 0
 9 1 0
 12,05 0 0
 4,5 1 0
 4,8 0 0
 6,5 1 0
 7,69 1 0
 9,33 0 0
 5 1 0
 6,1 1 0
 10,67 0 0
 3,5 0 0
 10 1 0
 9 0 0
 7,5 1 1
 5,71 0 1
 8,5 0 1
 4 1 1
 5,75 1 1
 5,25 0 0
 3,5 1 0
 4,5 0 0
 5,5 0 0
 6,25 1 0
 8,89 1 0
 5,25 1 0
 10,25 1 0
 6,25 1 0
 4,35 1 0
 17,86 0 0
 7,5 1 0
 6,25 1 0
 4,5 1 0
 6,4 0 0
 4,84 1 0
 4,15 1 0
 5,13 1 0
 5,26 1 0
 7,78 1 0
 13,07 0 0
 8 1 0
 7,67 1 0
 7,5 0 0
 2,85 0 0
 6,36 1 0
 3,5 0 0
 11,35 1 0
 5,5 1 0
 9,15 1 0
 7,96 1 0
 5,65 1 0
 13,45 0 1
 3,65 1 1
 6,25 0 1
 5,15 0 1
 26,29 1 1
 2,01 0 1
 5 0 1
 8,75 0 0
 12,5 1 0
 4 0 0
 4,5 1 0
 6,5 0 0
 5,5 1 0
 6,88 1 0
 6,15 0 0
 7,78 1 0
 12,5 1 0
 8,85 1 0
 4,35 1 0
 11,36 0 0
 8,93 1 0
 3,5 1 0
 26 1 0
 8 1 0
 16 1 0
 5,35 1 0
 23,25 1 0
 8,63 1 0
 18,5 0 0
 22,2 1 0
 16,26 0 0
 19,47 0 0
